species,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,conf.low,conf.high,model,range_size_km2
Limnodynastes peronii,Area,0.10425184766761535,0.03148195959303557,3.3114789871808967,9.613170095134029e-4,0.01086844774211168,0.009877333962294177,0.9950490772005699,2,-1412.9743126490805,2831.948625298161,2846.671891135107,988.1424207056305,998,0.04247341799339073,0.16603027734183995,time_vs_area,1071421.737367108
Crinia parinsignifera,Area,-0.04338552279983961,0.03162464121971875,-1.371889802588105,0.17040604848315521,0.001882303588615407,8.821856563394626e-4,0.9995588098474545,2,-1417.49624436378,2840.99248872756,2855.7157545645064,997.1195787149725,998,-0.10544394288615412,0.018672897286474907,time_vs_area,1116598.9819461696
Litoria chloris,Area,0.03967783937863118,0.03162951978937485,1.2544559526306802,0.20997003964326644,0.0015743309377564516,5.739044156499729e-4,0.9997130066095721,2,-1417.6504972884243,2841.3009945768486,2856.0242604137948,997.4272433931817,998,-0.02239015413882632,0.10174583289608868,time_vs_area,276208.52711196523
Litoria xanthomera,Area,0.08680493062323755,0.031534961735235734,2.7526569193913324,0.006018609066061332,0.0075350959805050915,0.006540642168862187,0.9967243138557118,2,-1414.6564689201625,2835.312937840325,2850.0362036772713,991.4724391154772,998,0.02492249252143014,0.14868736872504495,time_vs_area,14196.030932879774
Limnodynastes dorsalis,Area,0.07445528873937636,0.031566585317324515,2.3586741483410774,0.018532315728408202,0.005543590021263911,0.00454714071266793,0.9977238391896488,2,-1415.6587766673852,2837.3175533347703,2852.0408191717165,993.4619535687574,998,0.012510794295861716,0.136399783182891,time_vs_area,311817.83319804445
Crinia insignifera,Area,-0.010496148935195132,0.03165270317198384,-0.3316035562007036,0.7402582547814143,1.101691424697987e-4,-8.917244756239118e-4,1.0004457628855365,2,-1418.3831954321126,2842.7663908642253,2857.4896567011715,998.8899410266719,998,-0.07260963622084986,0.0516173383504596,time_vs_area,16853.414651667645
Limnodynastes peronii,Days,-0.06749208473020168,0.03158226872621019,-2.137024585386732,0.032838572635160906,0.004555181501228779,0.0035577418033342356,0.9982195440867033,2,-1416.1554890605319,2838.3109781210637,2853.03424395801,994.4493736802725,998,-0.12946735541463084,-0.005516814045772533,time_vs_days,1071421.737367108
Crinia parinsignifera,Days,-0.056859410938362116,0.031603236170693993,-1.7991641941747862,0.07229471589636917,0.003232992612257537,0.0022342280757967625,0.9988822612921917,2,-1416.8191680257496,2839.638336051499,2854.3616018884454,995.7702403803539,998,-0.11887582695844494,0.005157005081720706,time_vs_days,1116598.9819461696
Litoria chloris,Days,0.03332641735964048,0.031636863500832606,1.0534045942564252,0.29241056720041747,0.0011106500940289419,1.097589618584971e-4,0.9999451190131095,2,-1417.882649376429,2841.765298752858,2856.4885645898044,997.8904605560655,998,-0.028755987044804518,0.09540882176408548,time_vs_days,276208.52711196523
Litoria xanthomera,Days,0.05209419414853082,0.03161146571206335,1.6479525063164342,0.09967718043640361,0.002713805063984774,0.001714520299519795,0.9991423720874227,2,-1417.0795359835365,2840.159071967073,2854.8823378040192,996.2889087410811,998,-0.00993837106141534,0.11412675935847699,time_vs_days,14196.030932879774
Limnodynastes dorsalis,Days,-0.031858919715923764,0.031638378327609275,-1.0069706919245616,0.31419293683238475,0.0010149907654656775,1.400378226468213e-5,0.9999929980843542,2,-1417.930529929177,2841.861059858354,2856.5843256953003,997.9860242252997,998,-0.09394429673137204,0.030226457299524515,time_vs_days,311817.83319804445
Crinia insignifera,Days,0.08177318405062939,0.03154843504641666,2.5919886019803497,0.009681715384964073,0.006686853629778153,0.005691549875900148,0.9971501642802346,2,-1415.0836276361877,2836.1672552723753,2850.8905211093215,992.3198332238508,998,0.019864306679537924,0.14368206142172085,time_vs_days,16853.414651667645
Limnodynastes peronii,Area,0.04310973638970937,0.03162501911931445,1.3631528957204906,0.1731417797032967,0.0018584493715902292,8.583075372931015e-4,0.9995707541053344,2,-1417.5081938222797,2841.0163876445595,2855.7396534815057,997.1434090777814,998,-0.018949425265551254,0.10516889804497,freq_vs_area,1071421.737367108
Crinia parinsignifera,Area,0.05661909126374172,0.031603668493213326,1.7915354122860858,0.07351031370920667,0.0032057214955319114,0.0022069296333029342,0.9988959256933111,2,-1416.8328476236231,2839.6656952472463,2854.3889610841925,995.7974842259636,998,-0.005398173121776491,0.11863635564925992,freq_vs_area,1116598.9819461696
Litoria chloris,Area,0.3427475985029731,0.029737058850171482,11.525941426483628,6.048453994394351e-29,0.11747591627955532,0.11659162361049669,0.9398980670208363,2,-1355.9536829317426,2717.907365863485,2732.6306317004314,881.6415596367257,998,0.2843932640637661,0.4011019329421801,freq_vs_area,276208.52711196523
Litoria xanthomera,Area,0.08236777572844839,0.03154688513061845,2.610963820593011,0.009164149819348552,0.006784450478452005,0.0057892445170074636,0.997101176151644,2,-1415.0344982936547,2836.0689965873094,2850.7922624242556,992.2223339720258,998,0.0204619398250857,0.14427361163181107,freq_vs_area,14196.030932879774
Limnodynastes dorsalis,Area,-0.04958542601441197,0.03161550831885339,-1.5683893333083787,0.11710728722610142,0.0024587144730307264,0.0014591741067710995,0.9992701466036243,2,-1417.2074120003053,2840.4148240006107,2855.138089837557,996.5437442414425,998,-0.11162592420891523,0.0124550721800913,freq_vs_area,311817.83319804445
Crinia insignifera,Area,0.018132500999039826,0.031649242669147405,0.5729205336314701,0.5668275548602211,3.287875924801787e-4,-6.728869690504347e-4,1.00033638690645,2,-1418.2738622103957,2842.5477244207914,2857.2709902577376,998.6715411951128,998,-0.04397419559016901,0.08023919758824866,freq_vs_area,16853.414651667645
Limnodynastes peronii,Days,-0.07534826859701088,0.03156446212051365,-2.387123477958532,0.01716614404097987,0.005677361580567339,0.004681046311609927,0.9976567313903064,2,-1415.5915135093117,2837.1830270186233,2851.9062928555695,993.3283157810132,998,-0.13728859659832943,-0.013407940595692343,freq_vs_days,1071421.737367108
Crinia parinsignifera,Days,0.13137203291306795,0.03138010214434403,4.1864756306010475,3.083294302036048e-5,0.0172586110317123,0.01627390022112285,0.9918296727658823,2,-1409.7336445889507,2825.4672891779014,2840.1905550148476,981.7586475793194,998,0.06979348257647446,0.19295058324966147,freq_vs_days,1116598.9819461696
Litoria chloris,Days,0.1355960382205209,0.031362092981356414,4.323564702812649,1.6892322570362785e-5,0.018386285581100947,0.01740270470492966,0.9912604578490316,2,-1409.159575943562,2824.319151887124,2839.04241772407,980.6321007044817,998,0.07405282805409166,0.19713924838695016,freq_vs_days,276208.52711196523
Litoria xanthomera,Days,0.10301895700065643,0.03148602601419938,3.271894552656393,0.0011049092575505127,0.010612905501502958,0.009621535667336034,0.995177604416751,2,-1413.1034710183728,2832.2069420367457,2846.930207873692,988.3977074039979,998,0.041232547609884866,0.16480536639142798,freq_vs_days,14196.030932879774
Limnodynastes dorsalis,Days,-0.05237791376925464,0.03161099593935212,-1.6569523424616321,0.09784341942770512,0.0027434458508194723,0.001744190786541644,0.9991275239995435,2,-1417.0646750401686,2840.129350080337,2854.8526159172834,996.2592975950315,998,-0.1144095571236118,0.009653729585102522,freq_vs_days,311817.83319804445
Crinia insignifera,Days,0.05815764555944037,0.031600868945318196,1.8403812142025504,0.066009055368105,0.0033823117370175215,0.0023836968189182572,0.9988074404914504,2,-1416.7442606958377,2839.4885213916755,2854.2117872286217,995.6210705747201,998,-0.0038541251504936452,0.12016941626937439,freq_vs_days,16853.414651667645
